,index,title,description,image,url,k_means
0,0,Israël 65 jaar geliefd en gehaat ,"Israël, door de één geliefd en door de ander gehaat.",https://images.npo.nl/header/2560x1440/195586.jpg,https://www.npostart.nl/israel-65-jaar-geliefd-en-gehaat/POMS_S_MAX_374455,4
1,1,Denkend aan Showroom ,Herinneringen aan de kleurrijke mensen uit het spraakmakende NCRV programma Showroom (1977-1983).,https://images.npo.nl/header/2560x1440/1373060.jpg,https://www.npostart.nl/denkend-aan-showroom/KN_1713810,2
2,2,Onder de radar: Speciale Eenheden in actie ,Jessica Villerius rijdt mee met de Dienst Speciale Interventies van politie en leger die in actie komt bij terrorismedreiging en ander grof geweld.,https://images.npo.nl/header/2560x1440/736390.jpg,https://www.npostart.nl/onder-de-radar-speciale-eenheden-in-actie/KN_1678306,2
3,3,Once Upon a Time in Iraq ,"Vanuit meerdere perspectieven worden de persoonlijke, dramatische en tragische verhalen achter de oorlog in Irak (2003) verteld. Een oorlog die onze moderne wereld heeft gevormd.",https://images.npo.nl/header/2560x1440/Once_Upon_A_Time_In_Iraq_Ep1_07_cdn_header-1616843518.jpg,https://www.npostart.nl/once-upon-a-time-in-iraq/VPWON_1328736,13
4,4,Teenage Boss ,NPO Zapp programma waarin tieners de baas worden over het geld van hun ouders.,https://images.npo.nl/header/2560x1440/teenagebossbnn-0541_cdn_header-1639038865.jpg,https://www.npostart.nl/teenage-boss/BV_101404187,2
5,5,In Blue ,Een doorgewinterde stewardess moet tijdens een vlucht naar Boekarest helpen met een bevalling. In de nasleep rijdt haar taxi een vijftienjarige jongen aan die in de tunnels onder de stad woont.,https://images.npo.nl/header/2560x1440/1266315.jpg,https://www.npostart.nl/in-blue/POMS_S_NTR_15683559,2
6,6,Zappbaas voor 1 dag ,De tienjarige Zapp-baas voor één dag Fleur uit den Bosch stelde haar eigen programmering samen. Bekijk hier haar favoriete programma’s.,https://images.npo.nl/header/2560x1440/943312.jpg,https://www.npostart.nl/zappbaas-voor-1-dag/POMS_S_NPO_10599104,2
7,7,Het Groot-Brittannië van... ,"De vijfdelige reisserie Het Groot-Brittannië van… toont het eiland door de ogen van vijf eigenzinnige Britten. Door het eiland te laten zien door de ogen van een Brit, heeft Het Groot Brittannië van... twee belangrijke elementen van een reisserie: de verwonderde blik van de makers aangevuld met de persoonlijke kijk van de Britse gids.",https://images.npo.nl/header/2560x1440/Kate-als-royaltyverslaggeefster_cdn_header-1589970376.jpg,https://www.npostart.nl/het-groot-brittannie-van/POMS_S_VPRO_789109,2
8,8,Typisch ,In Typisch volgen we gewone mensen in een buurt ergens in Nederland. Wie zijn de mensen die er wonen en hoe ziet hun leven eruit?,https://images.npo.nl/header/2560x1440/Typisch_cdn_header-1590127976.jpeg,https://www.npostart.nl/typisch/BV_101386658,1
9,9,9/11 A love story ,,https://images.npo.nl/header/2560x1440/1515585.jpg,https://www.npostart.nl/911-a-love-story/POMS_S_VPRO_3814609,2
10,10,"Van oud geld, de dingen, die niet voorbij gaan ","In de vierdelige documentaireserie 'Van oud geld, de dingen, die niet voorbij gaan' portretteert Jort Kelder oude adellijke geslachten in hun streven om de familie, 'het huis' en hun eeuwenoude tradities in stand te houden. De vier families geven de kijker een blik in hun leven en familiegeschiedenissen, waardoor niet alleen het verhaal van hun geslachten, maar ook een verhaal over Nederland wordt verteld.",https://images.npo.nl/header/2560x1440/van_oud_geld_cdn_header-1587197376.png,https://www.npostart.nl/van-oud-geld-de-dingen-die-niet-voorbij-gaan/AT_2087407,10
11,11,Wereldjongerendagen ,Wereldjongerendagen,https://images.npo.nl/header/2560x1440/776549.jpg,https://www.npostart.nl/wereldjongerendagen/POMS_S_RKK_105797,2
12,12,True Selfie ,Acht jongeren met psychische problemen filmen hun eigen leven en delen met de kijker hun kwetsbare momenten. Een keer per week komen ze bij elkaar om onder leiding van psycholoog Erik Jongman met elkaar in gesprek te gaan.,https://images.npo.nl/header/2560x1440/1035498_cdn_header-1586165425.jpg,https://www.npostart.nl/true-selfie/BV_101387561,14
